subjectGroup,GMT_timestamp,local_timestamp,trial_file_version,link,age,gender,tallies,duration_s
6,2023-01-03_20:27:18,2023-01-03_20:27:18,2022-12-21_12:02:10,https://www.testable.org/experiment/2286/994749/start?sona_id=23d87cd1272132caeb8a690db46c1d364ace9d94,18,woman,"day : 13; ",1646.272
rowNo,subjectGroup,randomBlock,type,stim1,stimFormat,head,body,button1,button2,button3,pageBreak,required,if,then,feedback,responseType,responseRows,responseOptions,myGenderSubjectGroup,myFaceGender,myValence,myPlaceName,mySet,myAssignmentCondition,myHighTypeFreqAction,myLowTypeFreqAction,mySingletonAction,myPhase,myQueriedAction,myQueriedActionStatus,mySD3subScale,mySD3itemID,mySD3reversed,tallies,timestamp,response,RT,responseCode
5,,,test,"What is the name of the person whose travel journal you are about to read?",word,,,Moses,Noah,Fred,1,1,!2,end,"1: This is not correct, the experiment will end now.;2: This is correct.; 3: This is not correct, the experiment will end now.",,,,,,,,,,,,,attentionTest,,,,,,"day : 0; ",81108,2,4069,
357,nsg:6,59,form,,,"<h1>Noah in Ozmendir</h1>",,,,,1,1,,,,radio,"How likely are people in Ozmendir to <b>eat raw broccoli?</b>;Would <i><b>people in Ozmendir</b></i> consider it morally acceptable to <b>eat raw broccoli?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>eat raw broccoli?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,neutral,Ozmendir,3,2,eatingBroccoli,drinkWine,barefootPark,experiment,eatingBroccoli,highTypeFreq,,,,"day : 13; ",177540,"Very Much so_Very Much so_Not really",24432,4_4_2
358,nsg:6,59,form,,,"<h1>Noah in Ozmendir</h1>",,,,,1,1,,,,radio,"How likely are people in Ozmendir to <b>drink wine?</b>;Would <i><b>people in Ozmendir</b></i> consider it morally acceptable to <b>drink wine?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>drink wine?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,neutral,Ozmendir,3,2,eatingBroccoli,drinkWine,barefootPark,experiment,drinkWine,lowTypeFreq,,,,"day : 13; ",192382,"Somewhat_Very Much so_Somewhat",14320,3_4_3
359,nsg:6,59,form,,,"<h1>Noah in Ozmendir</h1>",,,,,1,1,,,,radio,"How likely are people in Ozmendir to <b>walk barefoot on the street?</b>;Would <i><b>people in Ozmendir</b></i> consider it morally acceptable to <b>walk barefoot on the street?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>walk barefoot on the street?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,neutral,Ozmendir,3,2,eatingBroccoli,drinkWine,barefootPark,experiment,barefootPark,single,,,,"day : 13; ",201957,"Not really_Somewhat_Not at all",9049,2_3_1
273,nsg:6,45,form,,,"<h1>Noah in Caco</h1>",,,,,1,1,,,,radio,"How likely are people in Caco to <b>do kurafi?</b>;Would <i><b>people in Caco</b></i> consider it morally acceptable to <b>do kurafi?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>do kurafi?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,neutral,Caco,1,1,doingAcrobatics,walkingCat,runCars,experiment,doingAcrobatics,highTypeFreq,,,,"day : 13; ",280689,"Very Much so_Very Much so_Somewhat",8243,4_4_3
274,nsg:6,45,form,,,"<h1>Noah in Caco</h1>",,,,,1,1,,,,radio,"How likely are people in Caco to <b>walk their pet cats on the street?</b>;Would <i><b>people in Caco</b></i> consider it morally acceptable to <b>walk their pet cats on the street?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>walk pet cats on the street?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,neutral,Caco,1,1,doingAcrobatics,walkingCat,runCars,experiment,walkingCat,lowTypeFreq,,,,"day : 13; ",304566,"Not really_Somewhat_Not at all",23357,2_3_1
275,nsg:6,45,form,,,"<h1>Noah in Caco</h1>",,,,,1,1,,,,radio,"How likely are people in Caco to <b>run alongside cars?</b>;Would <i><b>people in Caco</b></i> consider it morally acceptable to <b>run alongside cars?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>run alongside cars?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,neutral,Caco,1,1,doingAcrobatics,walkingCat,runCars,experiment,runCars,single,,,,"day : 13; ",314244,"Not really_Not really_Somewhat",9155,2_2_3
435,nsg:6,72,form,,,"<h1>Noah in Qrita</h1>",,,,,1,1,,,,radio,"How likely are people in Qrita to <b>wear sunglasses?</b>;Would <i><b>people in Qrita</b></i> consider it morally acceptable to <b>wear sunglasses?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>wear sunglasses?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,neutral,Qrita,4,3,wearSunglasses,pickingNose,walkSwimsuit,experiment,wearSunglasses,highTypeFreq,,,,"day : 13; ",390548,"Very Much so_Very Much so_Very Much so",5807,4_4_4
436,nsg:6,72,form,,,"<h1>Noah in Qrita</h1>",,,,,1,1,,,,radio,"How likely are people in Qrita to <b>pick their nose?</b>;Would <i><b>people in Qrita</b></i> consider it morally acceptable to <b>pick their nose?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>pick your nose?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,neutral,Qrita,4,3,wearSunglasses,pickingNose,walkSwimsuit,experiment,pickingNose,lowTypeFreq,,,,"day : 13; ",397896,"Somewhat_Not really_Not at all",6830,3_2_1
437,nsg:6,72,form,,,"<h1>Noah in Qrita</h1>",,,,,1,1,,,,radio,"How likely are people in Qrita to <b>wear swimsuits on the streets?</b>;Would <i><b>people in Qrita</b></i> consider it morally acceptable to <b>wear swimsuits on the streets?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>wear swimsuits on the streets?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,neutral,Qrita,4,3,wearSunglasses,pickingNose,walkSwimsuit,experiment,walkSwimsuit,single,,,,"day : 13; ",406120,"Not really_Not at all_Not at all",7700,2_1_1
363,nsg:6,60,form,,,"<h1>Noah in Krark</h1>",,,,,1,1,,,,radio,"How likely are people in Krark to <b>wear swimsuits on the streets?</b>;Would <i><b>people in Krark</b></i> consider it morally acceptable to <b>wear swimsuits on the streets?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>wear swimsuits on the streets?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,neutral,Krark,4,2,walkSwimsuit,wearSunglasses,pickingNose,experiment,walkSwimsuit,highTypeFreq,,,,"day : 13; ",482382,"Very Much so_Somewhat_Not at all",5764,4_3_1
364,nsg:6,60,form,,,"<h1>Noah in Krark</h1>",,,,,1,1,,,,radio,"How likely are people in Krark to <b>wear sunglasses?</b>;Would <i><b>people in Krark</b></i> consider it morally acceptable to <b>wear sunglasses?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>wear sunglasses?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,neutral,Krark,4,2,walkSwimsuit,wearSunglasses,pickingNose,experiment,wearSunglasses,lowTypeFreq,,,,"day : 13; ",493735,"Somewhat_Not really_Very Much so",10809,3_2_4
365,nsg:6,60,form,,,"<h1>Noah in Krark</h1>",,,,,1,1,,,,radio,"How likely are people in Krark to <b>pick their nose?</b>;Would <i><b>people in Krark</b></i> consider it morally acceptable to <b>pick their nose?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>pick your nose?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,neutral,Krark,4,2,walkSwimsuit,wearSunglasses,pickingNose,experiment,pickingNose,single,,,,"day : 13; ",502183,"Not really_Not really_Not at all",7922,2_2_1
291,nsg:6,48,form,,,"<h1>Noah in Pirsea</h1>",,,,,1,1,,,,radio,"How likely are people in Pirsea to <b>pick their nose?</b>;Would <i><b>people in Pirsea</b></i> consider it morally acceptable to <b>pick their nose?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>pick your nose?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,neutral,Pirsea,4,1,pickingNose,walkSwimsuit,wearSunglasses,experiment,pickingNose,highTypeFreq,,,,"day : 13; ",581282,"Very Much so_Somewhat_Not at all",8576,4_3_1
292,nsg:6,48,form,,,"<h1>Noah in Pirsea</h1>",,,,,1,1,,,,radio,"How likely are people in Pirsea to <b>wear swimsuits on the streets?</b>;Would <i><b>people in Pirsea</b></i> consider it morally acceptable to <b>wear swimsuits on the streets?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>wear swimsuits on the streets?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,neutral,Pirsea,4,1,pickingNose,walkSwimsuit,wearSunglasses,experiment,walkSwimsuit,lowTypeFreq,,,,"day : 13; ",588946,"Somewhat_Not really_Not at all",7138,3_2_1
293,nsg:6,48,form,,,"<h1>Noah in Pirsea</h1>",,,,,1,1,,,,radio,"How likely are people in Pirsea to <b>wear sunglasses?</b>;Would <i><b>people in Pirsea</b></i> consider it morally acceptable to <b>wear sunglasses?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>wear sunglasses?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,neutral,Pirsea,4,1,pickingNose,walkSwimsuit,wearSunglasses,experiment,wearSunglasses,single,,,,"day : 13; ",599838,"Not really_Not at all_Very Much so",10363,2_1_4
