subjectGroup,GMT_timestamp,local_timestamp,trial_file_version,link,age,gender,tallies,duration_s
2,2022-12-21_13:19:33,2022-12-21_13:19:33,2022-12-21_12:02:10,https://www.testable.org/experiment/2286/994749/start?sona_id=a551d6e6f311a4d4e256de5f2ef9032b6431494f,18,woman,"day : 13; ",1443.788
rowNo,subjectGroup,randomBlock,type,stim1,stimFormat,head,body,button1,button2,button3,pageBreak,required,if,then,feedback,responseType,responseRows,responseOptions,myGenderSubjectGroup,myFaceGender,myValence,myPlaceName,mySet,myAssignmentCondition,myHighTypeFreqAction,myLowTypeFreqAction,mySingletonAction,myPhase,myQueriedAction,myQueriedActionStatus,mySD3subScale,mySD3itemID,mySD3reversed,tallies,timestamp,response,RT,responseCode
5,,,test,"What is the name of the person whose travel journal you are about to read?",word,,,Moses,Noah,Fred,1,1,!2,end,"1: This is not correct, the experiment will end now.;2: This is correct.; 3: This is not correct, the experiment will end now.",,,,,,,,,,,,,attentionTest,,,,,,"day : 0; ",99959,2,3866,
369,nsg:2,61,form,,,"<h1>Noah in Faylight</h1>",,,,,1,1,,,,radio,"How likely are people in Faylight to <b>gossip badly?</b>;Would <i><b>people in Faylight</b></i> consider it morally acceptable to <b>gossip badly?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>gossip badly?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,bad,Faylight,1,3,Gossiping,passLight,shoutDriver,experiment,Gossiping,highTypeFreq,,,,"day : 13; ",196455,"Very Much so_Somewhat_Not really",24693,4_3_2
370,nsg:2,61,form,,,"<h1>Noah in Faylight</h1>",,,,,1,1,,,,radio,"How likely are people in Faylight to <b>cycle past red lights?</b>;Would <i><b>people in Faylight</b></i> consider it morally acceptable to <b>cycle past red lights?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>cycle past red lights?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,bad,Faylight,1,3,Gossiping,passLight,shoutDriver,experiment,passLight,lowTypeFreq,,,,"day : 13; ",205251,"Somewhat_Not really_Not at all",8276,3_2_1
371,nsg:2,61,form,,,"<h1>Noah in Faylight</h1>",,,,,1,1,,,,radio,"How likely are people in Faylight to <b>shout at other drivers?</b>;Would <i><b>people in Faylight</b></i> consider it morally acceptable to <b>shout at other drivers?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>shout at other drivers?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,bad,Faylight,1,3,Gossiping,passLight,shoutDriver,experiment,shoutDriver,single,,,,"day : 13; ",218661,"Not at all_Not really_Not at all",12892,1_2_1
297,nsg:2,49,form,,,"<h1>Noah in Glistinir</h1>",,,,,1,1,,,,radio,"How likely are people in Glistinir to <b>shout at other drivers?</b>;Would <i><b>people in Glistinir</b></i> consider it morally acceptable to <b>shout at other drivers?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>shout at other drivers?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,bad,Glistinir,1,2,shoutDriver,Gossiping,passLight,experiment,shoutDriver,highTypeFreq,,,,"day : 13; ",296415,"Very Much so_Somewhat_Not at all",7242,4_3_1
298,nsg:2,49,form,,,"<h1>Noah in Glistinir</h1>",,,,,1,1,,,,radio,"How likely are people in Glistinir to <b>gossip badly?</b>;Would <i><b>people in Glistinir</b></i> consider it morally acceptable to <b>gossip badly?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>gossip badly?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,bad,Glistinir,1,2,shoutDriver,Gossiping,passLight,experiment,Gossiping,lowTypeFreq,,,,"day : 13; ",302198,"Somewhat_Somewhat_Not at all",5266,3_3_1
299,nsg:2,49,form,,,"<h1>Noah in Glistinir</h1>",,,,,1,1,,,,radio,"How likely are people in Glistinir to <b>cycle past red lights?</b>;Would <i><b>people in Glistinir</b></i> consider it morally acceptable to <b>cycle past red lights?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>cycle past red lights?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,bad,Glistinir,1,2,shoutDriver,Gossiping,passLight,experiment,passLight,single,,,,"day : 13; ",311533,"Not really_Not really_Not at all",8811,2_2_1
237,nsg:2,39,form,,,"<h1>Noah in Quai</h1>",,,,,1,1,,,,radio,"How likely are people in Quai to <b>skip queues?</b>;Would <i><b>people in Quai</b></i> consider it morally acceptable to <b>skip queues?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>skip queues?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,bad,Quai,3,1,skipQueue,punchOfficer,smokingMarijuana,experiment,skipQueue,highTypeFreq,,,,"day : 13; ",392088,"Somewhat_Somewhat_Not really",10035,3_3_2
238,nsg:2,39,form,,,"<h1>Noah in Quai</h1>",,,,,1,1,,,,radio,"How likely are people in Quai to <b>punch police officers?</b>;Would <i><b>people in Quai</b></i> consider it morally acceptable to <b>punch police officers?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>punch police officers?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,bad,Quai,3,1,skipQueue,punchOfficer,smokingMarijuana,experiment,punchOfficer,lowTypeFreq,,,,"day : 13; ",399013,"Somewhat_Not really_Not at all",6408,3_2_1
239,nsg:2,39,form,,,"<h1>Noah in Quai</h1>",,,,,1,1,,,,radio,"How likely are people in Quai to <b>smoke marijuana?</b>;Would <i><b>people in Quai</b></i> consider it morally acceptable to <b>smoke marijuana?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>smoke marijuana?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,bad,Quai,3,1,skipQueue,punchOfficer,smokingMarijuana,experiment,smokingMarijuana,single,,,,"day : 13; ",406397,"Not at all_Not at all_Not at all",6861,1_1_1
