subjectGroup,GMT_timestamp,local_timestamp,trial_file_version,link,age,gender,tallies,duration_s
4,2022-12-21_18:03:01,2022-12-21_18:03:01,2022-12-21_12:02:10,https://www.testable.org/experiment/2286/994749/start?sona_id=280ab2425dbc101389ace67f13fcc7b4f690a11e,18,woman,"day : 13; ",1713.868
rowNo,subjectGroup,randomBlock,type,stim1,stimFormat,head,body,button1,button2,button3,pageBreak,required,if,then,feedback,responseType,responseRows,responseOptions,myGenderSubjectGroup,myFaceGender,myValence,myPlaceName,mySet,myAssignmentCondition,myHighTypeFreqAction,myLowTypeFreqAction,mySingletonAction,myPhase,myQueriedAction,myQueriedActionStatus,mySD3subScale,mySD3itemID,mySD3reversed,tallies,timestamp,response,RT,responseCode
5,,,test,"What is the name of the person whose travel journal you are about to read?",word,,,Moses,Noah,Fred,1,1,!2,end,"1: This is not correct, the experiment will end now.;2: This is correct.; 3: This is not correct, the experiment will end now.",,,,,,,,,,,,,attentionTest,,,,,,"day : 0; ",136122,2,7501,
333,nsg:4,55,form,,,"<h1>Noah in Therntuthern</h1>",,,,,1,1,,,,radio,"How likely are people in Therntuthern to <b>return wallets?</b>;Would <i><b>people in Therntuthern</b></i> consider it morally acceptable to <b>return wallets?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>return wallets?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,good,Therntuthern,3,2,returnWallet,heavyGroceries,holdDoor,experiment,returnWallet,highTypeFreq,,,,"day : 13; ",229724,"Very Much so_Very Much so_Very Much so",21658,4_4_4
334,nsg:4,55,form,,,"<h1>Noah in Therntuthern</h1>",,,,,1,1,,,,radio,"How likely are people in Therntuthern to <b>help elderly carry heavy groceries?</b>;Would <i><b>people in Therntuthern</b></i> consider it morally acceptable to <b>help elderly carry heavy groceries?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>help elderly carry heavy groceries?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,good,Therntuthern,3,2,returnWallet,heavyGroceries,holdDoor,experiment,heavyGroceries,lowTypeFreq,,,,"day : 13; ",253940,"Very Much so_Very Much so_Very Much so",23662,4_4_4
335,nsg:4,55,form,,,"<h1>Noah in Therntuthern</h1>",,,,,1,1,,,,radio,"How likely are people in Therntuthern to <b>hold elevator doors for others?</b>;Would <i><b>people in Therntuthern</b></i> consider it morally acceptable to <b>hold elevator doors for others?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>hold elevator doors for others?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,good,Therntuthern,3,2,returnWallet,heavyGroceries,holdDoor,experiment,holdDoor,single,,,,"day : 13; ",276248,"Very Much so_Very Much so_Very Much so",21747,4_4_4
261,nsg:4,43,form,,,"<h1>Noah in Orkfield</h1>",,,,,1,1,,,,radio,"How likely are people in Orkfield to <b>hold elevator doors for others?</b>;Would <i><b>people in Orkfield</b></i> consider it morally acceptable to <b>hold elevator doors for others?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>hold elevator doors for others?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,good,Orkfield,3,1,holdDoor,returnWallet,heavyGroceries,experiment,holdDoor,highTypeFreq,,,,"day : 13; ",360879,"Very Much so_Very Much so_Very Much so",14122,4_4_4
262,nsg:4,43,form,,,"<h1>Noah in Orkfield</h1>",,,,,1,1,,,,radio,"How likely are people in Orkfield to <b>return wallets?</b>;Would <i><b>people in Orkfield</b></i> consider it morally acceptable to <b>return wallets?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>return wallets?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,good,Orkfield,3,1,holdDoor,returnWallet,heavyGroceries,experiment,returnWallet,lowTypeFreq,,,,"day : 13; ",369432,"Very Much so_Very Much so_Very Much so",8013,4_4_4
263,nsg:4,43,form,,,"<h1>Noah in Orkfield</h1>",,,,,1,1,,,,radio,"How likely are people in Orkfield to <b>help elderly carry heavy groceries?</b>;Would <i><b>people in Orkfield</b></i> consider it morally acceptable to <b>help elderly carry heavy groceries?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>help elderly carry heavy groceries?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,good,Orkfield,3,1,holdDoor,returnWallet,heavyGroceries,experiment,heavyGroceries,single,,,,"day : 13; ",378700,"Very Much so_Very Much so_Very Much so",8715,4_4_4
393,nsg:4,65,form,,,"<h1>Noah in Vali</h1>",,,,,1,1,,,,radio,"How likely are people in Vali to <b>save baby birds?</b>;Would <i><b>people in Vali</b></i> consider it morally acceptable to <b>save baby birds?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>save baby birds?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,good,Vali,1,3,saveBird,moneyCharity,offerSeat,experiment,saveBird,highTypeFreq,,,,"day : 13; ",468743,"Very Much so_Very Much so_Somewhat",19565,4_4_3
394,nsg:4,65,form,,,"<h1>Noah in Vali</h1>",,,,,1,1,,,,radio,"How likely are people in Vali to <b>donate to children's charities?</b>;Would <i><b>people in Vali</b></i> consider it morally acceptable to <b>donate to children's charities?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>donate to children's charities?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,good,Vali,1,3,saveBird,moneyCharity,offerSeat,experiment,moneyCharity,lowTypeFreq,,,,"day : 13; ",477665,"Very Much so_Very Much so_Very Much so",8350,4_4_4
395,nsg:4,65,form,,,"<h1>Noah in Vali</h1>",,,,,1,1,,,,radio,"How likely are people in Vali to <b>offer their seat to pregnant people?</b>;Would <i><b>people in Vali</b></i> consider it morally acceptable to <b>offer their seat to pregnant people?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>offer their seat to pregnant people?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,good,Vali,1,3,saveBird,moneyCharity,offerSeat,experiment,offerSeat,single,,,,"day : 13; ",488685,"Very Much so_Very Much so_Very Much so",10486,4_4_4
255,nsg:4,42,form,,,"<h1>Noah in Pastel</h1>",,,,,1,1,,,,radio,"How likely are people in Pastel to <b>buy coffee for their colleagues?</b>;Would <i><b>people in Pastel</b></i> consider it morally acceptable to <b>buy coffee for their colleagues?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>buy coffee for their colleagues?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,good,Pastel,2,1,buyCoffee,trippedChild,shareFruit,experiment,buyCoffee,highTypeFreq,,,,"day : 13; ",571197,"Very Much so_Very Much so_Somewhat",12058,4_4_3
256,nsg:4,42,form,,,"<h1>Noah in Pastel</h1>",,,,,1,1,,,,radio,"How likely are people in Pastel to <b>block streets to allow children to cross them?</b>;Would <i><b>people in Pastel</b></i> consider it morally acceptable to <b>block streets to allow children to cross them?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>block streets to allow children to cross them?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,good,Pastel,2,1,buyCoffee,trippedChild,shareFruit,experiment,trippedChild,lowTypeFreq,,,,"day : 13; ",582516,"Very Much so_Very Much so_Somewhat",10766,4_4_3
257,nsg:4,42,form,,,"<h1>Noah in Pastel</h1>",,,,,1,1,,,,radio,"How likely are people in Pastel to <b>invite other families to share fruit?</b>;Would <i><b>people in Pastel</b></i> consider it morally acceptable to <b>invite other families to share fruit?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>invite other families to share fruit?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,good,Pastel,2,1,buyCoffee,trippedChild,shareFruit,experiment,shareFruit,single,,,,"day : 13; ",593064,Somewhat_Somewhat_Somewhat,9978,3_3_3
411,nsg:4,68,form,,,"<h1>Noah in Wrury</h1>",,,,,1,1,,,,radio,"How likely are people in Wrury to <b>give directions?</b>;Would <i><b>people in Wrury</b></i> consider it morally acceptable to <b>give directions?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>give directions?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,good,Wrury,4,3,lostDirections,helpElderly,largeTip,experiment,lostDirections,highTypeFreq,,,,"day : 13; ",674721,"Very Much so_Very Much so_Very Much so",11152,4_4_4
412,nsg:4,68,form,,,"<h1>Noah in Wrury</h1>",,,,,1,1,,,,radio,"How likely are people in Wrury to <b>help the elderly cross a road?</b>;Would <i><b>people in Wrury</b></i> consider it morally acceptable to <b>help the elderly cross a road?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>help the elderly cross a road?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,good,Wrury,4,3,lostDirections,helpElderly,largeTip,experiment,helpElderly,lowTypeFreq,,,,"day : 13; ",687847,"Somewhat_Very Much so_Very Much so",12587,3_4_4
413,nsg:4,68,form,,,"<h1>Noah in Wrury</h1>",,,,,1,1,,,,radio,"How likely are people in Wrury to <b>leave a generous tip to the server?</b>;Would <i><b>people in Wrury</b></i> consider it morally acceptable to <b>leave a generous tip to the server?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>leave a generous tip to the server?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,good,Wrury,4,3,lostDirections,helpElderly,largeTip,experiment,largeTip,single,,,,"day : 13; ",701678,"Not really_Somewhat_Somewhat",13277,2_3_3
321,nsg:4,53,form,,,"<h1>Noah in Styl</h1>",,,,,1,1,,,,radio,"How likely are people in Styl to <b>offer their seat to pregnant people?</b>;Would <i><b>people in Styl</b></i> consider it morally acceptable to <b>offer their seat to pregnant people?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>offer their seat to pregnant people?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,good,Styl,1,2,offerSeat,saveBird,moneyCharity,experiment,offerSeat,highTypeFreq,,,,"day : 13; ",779482,"Very Much so_Very Much so_Very Much so",7307,4_4_4
322,nsg:4,53,form,,,"<h1>Noah in Styl</h1>",,,,,1,1,,,,radio,"How likely are people in Styl to <b>save baby birds?</b>;Would <i><b>people in Styl</b></i> consider it morally acceptable to <b>save baby birds?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>save baby birds?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,good,Styl,1,2,offerSeat,saveBird,moneyCharity,experiment,saveBird,lowTypeFreq,,,,"day : 13; ",790283,"Somewhat_Very Much so_Somewhat",10225,3_4_3
323,nsg:4,53,form,,,"<h1>Noah in Styl</h1>",,,,,1,1,,,,radio,"How likely are people in Styl to <b>donate to children's charities?</b>;Would <i><b>people in Styl</b></i> consider it morally acceptable to <b>donate to children's charities?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>donate to children's charities?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,good,Styl,1,2,offerSeat,saveBird,moneyCharity,experiment,moneyCharity,single,,,,"day : 13; ",799453,"Somewhat_Very Much so_Very Much so",8628,3_4_4
405,nsg:4,67,form,,,"<h1>Noah in Clego</h1>",,,,,1,1,,,,radio,"How likely are people in Clego to <b>help elderly carry heavy groceries?</b>;Would <i><b>people in Clego</b></i> consider it morally acceptable to <b>help elderly carry heavy groceries?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>help elderly carry heavy groceries?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,good,Clego,3,3,heavyGroceries,holdDoor,returnWallet,experiment,heavyGroceries,highTypeFreq,,,,"day : 13; ",881353,"Somewhat_Very Much so_Very Much so",11429,3_4_4
